user_id,round_idx,song_id,track_name,rating
SYN0001,1,6qL5UWxRSQYml9O99ozoLv,Love Songs - Bonus,3
SYN0001,2,4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,4
SYN0001,3,7iDa6hUg2VgEL1o1HjmfBn,Meant to Be (feat. Florida Georgia Line),4
SYN0001,4,5CQ30WqJwcep0pYcV4AMNc,Stairway to Heaven - Remaster,4
SYN0001,5,7Ie9W94M7OjPoZVV216Xus,Not Afraid,5
SYN0001,6,4VQH4VluDUOsOuDxccTeyN,Sanctuary,5
SYN0001,7,0RLLvYBopDwooCyvnTwgYu,F.N,3
SYN0001,8,7MXVkk9YMctZqd1Srtv4MB,Starboy,4
SYN0001,9,2ksOAxtIxY8yElEWw8RhgK,China,3
SYN0001,10,2fmyrECK6bdfoGven0UMZx,Naked,5
SYN0001,11,0cGG2EouYCEEC3xfa0tDFV,Tainted Love,2
SYN0001,12,4e9eGQYsOiBcftrWXwsVco,Aerials,2
SYN0001,13,0Z2J91b2iTGLVTZC4fKgxf,Hit 'Em Up - Single Version,5
SYN0001,14,1v6svH1Fyx9C1nIt1mA2DT,All I Want,2
SYN0001,15,6GnhWMhgJb7uyiiPEiEkDA,Weekend (feat. Miguel),2
SYN0001,16,1ixbwbeBi5ufN4noUKmW5a,Paper Planes,4
SYN0001,17,4OafepJy2teCjYJbvFE60J,breathin,5
SYN0001,18,6EDO9iiTtwNv6waLwa1UUq,POPSTAR (feat. Drake),4
SYN0001,19,1Hv1VTm8zeOeybub15mA2R,Smooth Operator - Single Version,4
SYN0001,20,6x4tKaOzfNJpEJHySoiJcs,Mambo No. 5 (a Little Bit of...),1
SYN0001,21,0jWgAnTrNZmOGmqgvHhZEm,What's Up?,1
SYN0001,22,6W21LNLz9Sw7sUSNWMSHRu,Freak On a Leash,4
SYN0001,23,2FY7b99s15jUprqC0M5NCT,Natural,4
SYN0001,24,7cgu4JBW3hq1GwTM1ilkKQ,Talking Body,3
SYN0001,25,7FCfMXYTIiQ9b4hDYs4Iol,Be the One,4
SYN0001,26,3CA9pLiwRIGtUBiMjbZmRw,Nice For What,2
SYN0001,27,6kvoHl80mfCVTv7XnZkjQn,"It Must Have Been Love - From the Film ""Pretty Woman""",3
SYN0001,28,3JsydWaf2Ev4ehaLUjj3SY,Confident,4
SYN0001,29,76cy1WJvNGJTj78UqeA5zr,IDGAF,4
SYN0001,30,0yNttAVwMr39qyODHNIkrY,Never Gonna Give You Up (2022 Remaster),5
SYN0001,31,76FZM38RC8XaAjJ77CVTNe,Into You,3
SYN0001,32,41zXlQxzTi6cGAjpOXyLYH,idontwannabeyouanymore,4
SYN0001,33,3B5UbSndRz907IZhhmUfLi,Count on Me,4
SYN0001,34,1pjvlYOMIg1NhGQbM6iwrY,Light It Up (feat. Nyla & Fuse ODG) [Remix],2
SYN0001,35,2YlZnw2ikdb837oKMKjBkW,Like I'm Gonna Lose You (feat. John Legend),2
SYN0001,36,5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,1
SYN0001,37,7Ewz6bJ97vUqk5HdkvguFQ,Heaven,4
SYN0001,38,5DxXgozhkPLgrbKFY91w0c,Vete,1
SYN0001,39,2wBnZdVWa5jVpvYRfGU7rP,Mary On A Cross,1
SYN0001,40,41Ee1u8ignxtICyaPI5OqO,Dior - Bonus,1
SYN0001,41,3L7RtEcu1Hw3OXrpnthngx,Don't You Want Me,4
SYN0001,42,2ogKhhoMClkFXek7ZgxAhN,Shameless,4
SYN0001,43,6FZDfxM3a3UCqtzo5pxSLZ,Without Me,4
SYN0001,44,6ifUES3keWjwXgae8pXI3o,Me Rehúso,1
SYN0001,45,0t3ZvGKlmYmVsDzBJAXK8C,Goodbyes (feat. Young Thug),2
SYN0001,46,6Xom58OOXk2SoU711L2IXO,Moscow Mule,4
SYN0001,47,2PzU4IB8Dr6mxV3lHuaG34,(I Can't Get No) Satisfaction - Mono,3
SYN0001,48,3k3NWokhRRkEPhCzPmV8TW,Ojitos Lindos,2
SYN0002,1,6sJ7lnREdD6I8UlVQiuDWZ,See You Again,1
SYN0002,2,2TIlqbIneP0ZY1O0EzYLlc,Someone You Loved,5
SYN0002,3,3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,2
SYN0002,4,4xkOaSrkexMciUUogZKVTS,Till I Collapse,2
SYN0002,5,5kqIPrATaCc2LqxVWzQGbk,7 Years,4
SYN0002,6,2pUpNOgJBIBCcjyQZQ00qU,Let Her Go,3
SYN0002,7,3BJe4B8zGnqEdQPMvfVjuS,Summertime Sadness,2
SYN0002,8,561jH07mF1jHuk7KlaeF0s,Mockingbird,3
SYN0002,9,5cF0dROlMOK5uNZtivgu50,Attention,4
SYN0002,10,5TRPicyLGbAF2LGBFbHGvO,Flashing Lights,1
SYN0002,11,3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,1
SYN0002,12,1oAwsWBovWRIp7qLMGPIet,Apocalypse,3
SYN0002,13,6habFhsOp2NvshLv26DqMb,Despacito,4
SYN0003,1,2ENexcMEMsYk0rVJigVD3i,Only Girl (In The World),3
SYN0003,2,4EWCNWgDS8707fNSZ1oaA5,Heartless,5
SYN0003,3,6Qn5zhYkTa37e91HC1D7lb,Whatever It Takes,4
SYN0003,4,3DarAbFujv6eYNliUTyqtz,Kiss Me More (feat. SZA),1
SYN0003,5,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,2
SYN0003,6,76cy1WJvNGJTj78UqeA5zr,IDGAF,1
SYN0003,7,0wwPcA6wtMf6HUMpIRdeP7,Hotline Bling,4
SYN0003,8,503OTo2dSqe7qk76rgsbep,Still D.R.E.,5
SYN0003,9,40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,5
SYN0003,10,68Dni7IE4VyPkTOH9mRWHr,No Role Modelz,3
SYN0003,11,4Ed0yjbAZDmwuYnVoYXzDB,Rockabye,1
SYN0003,12,74tLlkN3rgVzRqQJgPfink,Money Trees,2
SYN0003,13,7lQ8MOhq6IN2w8EYcFNSUk,Without Me,5
